                  Delete,删除
Nzerekore,Nzerekore
OAuth,OAuth
Oaxaca,Oaxaca
Oberosterreich,Oberosterreich
Obock,Obock
Obwalden,Obwalden
Occitanie,Occitanie
Ocnita,Ocnita
Ocotepeque,Ocotepeque
Odeska oblast,Odeska oblast
Odisha,Odisha
Odranci,Odranci
of,共
Off,关
Offaly,Offaly
Ogooue-Ivindo,Ogooue-Ivindo
Ogooue-Lolo,Ogooue-Lolo
Ogooue-Maritime,Ogooue-Maritime
Ogres novads,Ogres novads
Ogun,Ogun
Oguz,Oguz
Ohangwena,Ohangwena
Ohio,Ohio
Ohrid,Ohrid
Oio,Oio
Oita,Oita
Okayama,Okayama
Okinawa,Okinawa
Oklahoma,Oklahoma
Olaines novads,Olaines novads
Olancho,Olancho
Olomoucky kraj,Olomoucky kraj
Olt,Olt
Omaheke,Omaheke
Oman,Oman
Ombella-Mpoko,Ombella-Mpoko
Omnogovi,Omnogovi
Omusati,Omusati
On,在
On-chain deposit,链上充值
On-chain NBC balance,链上 NBC 余额
Once per customer,每位客户限用一次
Ondo,Ondo
Ongtustik Qazaqstan oblysy,Ongtustik Qazaqstan oblysy
Ontario,Ontario
Oost-Vlaanderen,Oost-Vlaanderen
Open,打开
Open store,营业中
Operation failed,操作失败
Operation successful,操作成功
Operator,Operator
Oplotnica,Oplotnica
Opolskie,Opolskie
Oppland,Oppland
Opportunities,商机
Opt-in,选择加入
Opt-out,选择退出
Option text,选项文本
Option text is required,请填写选项文本
Optional,选填
Options,选项
or,或
Or,Or
Or sign in with your Web3 wallet,或使用 Web3 钱包登录
Oran,Oran
Orange Walk,Orange Walk
Order,订单
Order #,订单号
Order #${orderNumber},订单 #${orderNumber}
Order conditions,订单条件
Order Details,订单详情
Order History,订单历史
Order Information,订单信息
Order Items,订单商品
Order must contain products matching all of the following conditions,订单须包含满足以下全部条件的商品
Order number,订单编号
Order Number,订单号
Order Placed,订单已提交
Order prefix,订单前缀
Order status,订单状态
Order summary,订单摘要
Order total,订单金额
Orders,订单
Orders (${count}),订单（${count}）
Ordino,Ordino
Ordu,Ordu
Orebro lan,Orebro lan
Oregon,Oregon
Orellana,Orellana
Organizations,组织
Orhei,Orhei
Orhon,Orhon
Ormoz,Ormoz
Oromiya,Oromiya
Oruro,Oruro
Osaka,Osaka
Osh,Osh
Oshana,Oshana
Oshikoto,Oshikoto
Osjecko-baranjska zupanija,Osjecko-baranjska zupanija
Oslo,Oslo
Osmaniye,Osmaniye
Ostergotlands lan,Ostergotlands lan
Ostfold,Ostfold
Osun,Osun
Otago,Otago
Otdar Mean Chey,Otdar Mean Chey
Others,其他
Otjozondjupa,Otjozondjupa
Otuke,Otuke
Ouaddai,Ouaddai
Ouaka,Ouaka
Ouargla,Ouargla
Oubritenga,Oubritenga
Oudalan,Oudalan
Oudomxai,Oudomxai
Oueme,Oueme
Ouest,Ouest
Ouham,Ouham
Ouham-Pende,Ouham-Pende
Oum el Bouaghi,Oum el Bouaghi
Out of stock,缺货
Out of Stock,缺货
Overijssel,Overijssel
Overview of sales data over selected periods,所选时段的销售数据概览
Overview of total sales and order status over the lifetime of your,店铺存续期间的销售额与订单状态概览
Overview of total sales and order status over the lifetime of your store,店铺存续期间的销售额与订单状态概览
Ovorhangay,Ovorhangay
Oyam,Oyam
Oyo,Oyo
Ozolnieku novads,Ozolnieku novads
Packaging slip,装箱单
Pader,Pader
Pafos,Pafos
Page,页
Page ${current} of ${total},第 ${current} / ${total} 页
Page Name,页面名称
Page not found,页面未找到
Page Not Found,页面未找到
Pages,页面
Pahang,Pahang
Paid,已付款
Paijat-Hame,Paijat-Hame
Pais Vasco,Pais Vasco
Pakistan,Pakistan
Paktika,Paktika
Paktiya,Paktiya
Palau,Palau
Palauli,Palauli
Palawan,Palawan
Palestinian Territories,Palestinian Territories
Pallisa,Pallisa
Palmyra Atoll,Palmyra Atoll
Pampanga,Pampanga
Pamplemousses,Pamplemousses
Panama,Panama
Pando,Pando
Panevezio apskritis,Panevezio apskritis
Pangasinan,Pangasinan
Panjshayr,Panjshayr
Paola,Paola
Papua,Papua
Papua Barat,Papua Barat
Papua New Guinea,Papua New Guinea
Para,Para
Paraguari,Paraguari
Paraguay,Paraguay
Paraiba,Paraiba
Paramaribo,Paramaribo
Params,参数
Parana,Parana
Pardubicky kraj,Pardubicky kraj
Parent category,父分类
Parnumaa,Parnumaa
Paro,Paro
Partial Refunded,部分退款
Partially refunded,部分退款
Partners,合作伙伴
Parwan,Parwan
Pasco,Pasco
Passore,Passore
Password,密码
Password is required,请填写密码
Password must be at least ${minLength} characters long,密码至少需要 ${minLength} 个字符
Pastaza,Pastaza
Paste,粘贴
PATCH,PATCH
Pathum Thani,Pathum Thani
Pattani,Pattani
Paul,Paul
Pavlodar oblysy,Pavlodar oblysy
Pay directly with your NBC wallet balance.,使用 NBC 钱包余额直接支付。
Pay with NBC Wallet,使用 NBC 钱包支付
Pay with PayPal,使用 PayPal 支付
Pay with Stripe,使用 Stripe 支付
Pay with your NBC wallet balance. Connect your wallet to continue.,使用 NBC 钱包余额支付，请先连接钱包。
Payload,负载
Payment,支付
Payment history,付款记录
Payment Information,支付信息
Payment method,支付方式
Payment Method,支付方式
Payment method ${code} is not available,支付方式 ${code} 不可用
Payment method is required,请选择支付方式
Payment mode,支付模式
Payment Setting,支付设置
Payment setting saved,支付设置已保存
Payment status,付款状态
Payment Status,支付状态
Payout,付款
Payouts,付款
PayPal,PayPal
Paypal Payment,PayPal 支付
Pays-de-la-Loire,Pays-de-la-Loire
Paysandu,Paysandu
Pazardzhik,Pazardzhik
Pcinjski okrug,Pcinjski okrug
Pecki okrug,Pecki okrug
Pedernales,Pedernales
Pehcevo,Pehcevo
Peleliu,Peleliu
Peloponnisos,Peloponnisos
Penal-Debe,Penal-Debe
Pending,待处理
Penghu,Penghu
Pennsylvania,Pennsylvania
Per customer,每位客户
Per order,每笔订单
per page,每页
Perak,Perak
Peravia,Peravia
Percent,百分比
Percentage,百分比
Percentage discount to entire order,整单百分比折扣
Percentage discount to specific products,指定商品百分比折扣
Performance,绩效
Perks,福利
Perlis,Perlis
Permissions,权限
Permskiy kray,Permskiy kray
Pernambuco,Pernambuco
Pernik,Pernik
Peru,Peru
Pest,Pest
Peten,Peten
Petrovec,Petrovec
Phalombe,Phalombe
Phangnga,Phangnga
Phatthalung,Phatthalung
Phayao,Phayao
Phetchabun,Phetchabun
Phetchaburi,Phetchaburi
Phichit,Phichit
Philippines,Philippines
Phitsanulok,Phitsanulok
Phnom Penh,Phnom Penh
Phone,电话
Phongsali,Phongsali
Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Phrae,Phrae
Phu Tho,Phu Tho
Phu Yen,Phu Yen
Phuket,Phuket
Physical product,实体商品
Piaui,Piaui
Pichincha,Pichincha
Pick a payment method,选择支付方式
Piemonte,Piemonte
Pinar del Rio,Pinar del Rio
Pingtung,Pingtung
Pink,粉色
Pipeline,销售管道
Piran,Piran
Pirkanmaa,Pirkanmaa
Pirotski okrug,Pirotski okrug
Pita,Pita
Pitcairn Islands,Pitcairn Islands
Piura,Piura
Pivka,Pivka
PKCE,PKCE
Place Order,提交订单
Placing Order...,正在下单…
Plaines Wilhems,Plaines Wilhems
Plan,方案
Planken,Planken
Plans,方案
Plasnica,Plasnica
Plateau,Plateau
Plateaux,Plateaux
Please enter a coupon code,请输入优惠码
Please enter a valid email address,请输入有效的邮箱地址
Please enter a valid URL,请输入有效的 URL
Please enter your email to receive a reset link,请输入邮箱以接收重置链接
Please provide billing address to proceed,请填写账单地址后继续
Please select a payment method,请选择支付方式
Please select a shipping method,请选择配送方式
Please select a valid payment method,请选择有效的支付方式
Please select variant options,请选择规格选项
Please sign in to your account,请登录您的账户
Please wait,请稍候
Pleven,Pleven
Plovdiv,Plovdiv
Plugins,插件
Plzensky kraj,Plzensky kraj
Podgorica,Podgorica
Podkarpackie,Podkarpackie
Podlaskie,Podlaskie
Podunavski okrug,Podunavski okrug
Pohjanmaa,Pohjanmaa
Pohjois-Karjala,Pohjois-Karjala
Pohjois-Pohjanmaa,Pohjois-Pohjanmaa
Pohjois-Savo,Pohjois-Savo
Pohnpei,Pohnpei
Point Fortin,Point Fortin
Pointe-Noire,Pointe-Noire
Points,积分
Poland,Poland
Poljcane,Poljcane
Polls,投票
Poltavska oblast,Poltavska oblast
Polvamaa,Polvamaa
Polzela,Polzela
Pomeroon-Supenaam,Pomeroon-Supenaam
Pomorskie,Pomorskie
Poni,Poni
Pool,Pool
Port Louis,Port Louis
Port of Spain,Port of Spain
Portalegre,Portalegre
Portland,Portland
Porto,Porto
Porto Novo,Porto Novo
Portugal,Portugal
Portuguesa,Portuguesa
POST,POST
Postal Code,邮编
Postcode,邮编
Postcode is required,请填写邮编
Postojna,Postojna
Potosi,Potosi
Pousaat,Pousaat
Pozesko-slavonska zupanija,Pozesko-slavonska zupanija
Prachin Buri,Prachin Buri
Prachuap Khiri Khan,Prachuap Khiri Khan
"Praha, Hlavni mesto","Praha, Hlavni mesto"
Prahova,Prahova
Praia,Praia
Preah Vihear,Preah Vihear
Prebold,Prebold
Preferences,偏好
Preilu novads,Preilu novads
Presidente Hayes,Presidente Hayes
Presovsky kraj,Presovsky kraj
Prevalje,Prevalje
Preview,预览
Previous,上一页
Prey Veaeng,Prey Veaeng
Price,价格
Price: ${value},价格：${value}
Pricing,定价
Prilep,Prilep
Primorskiy kray,Primorskiy kray
Primorsko-goranska zupanija,Primorsko-goranska zupanija
Prince Edward Island,Prince Edward Island
Princes Town,Princes Town
Principe,Principe
Print,打印
Print invoice,打印发票
Print packing slip,打印装箱单
Priority,优先级
Privacy,隐私
Privacy policy,隐私政策
Private,私有
Prizrenski okrug,Prizrenski okrug
Probability,概率
Probistip,Probistip
Processing,处理中
Processing Payment...,正在处理付款…
Processing request,正在处理请求
Product,商品
Product Description,商品描述
Product Filters,商品筛选
Product is out of stock,商品已售罄
Product Name,商品名称
Product name is required,请填写商品名称
Product not found,未找到商品
Product Status,商品状态
Product type,商品类型
Production,生产环境
Products,商品
Products (${count}),商品（${count}）
Profile,个人资料
Profit,利润
Profit margin,利润率
Proportional allocation based on cart items,按购物车商品比例分摊
Provide the basic information for the CMS page.,填写 CMS 页面的基本信息。
Provide the SEO details for the CMS page.,填写 CMS 页面的 SEO 信息。
Province,省/州
Province is required,请选择省/州
Provinces,省/州
Provinces/States,省/州
Ptuj,Ptuj
Public,公共
Publishable Key,可发布密钥
Published,已发布
Puducherry,Puducherry
Puebla,Puebla
Puerto Plata,Puerto Plata
Puerto Rico,Puerto Rico
Puglia,Puglia
Pulau Pinang,Pulau Pinang
Punakha,Punakha
Punjab,Punjab
Puno,Puno
Puntarenas,Puntarenas
PUT,PUT
Putumayo,Putumayo
Pwani,Pwani
Qaasuitsup Kommunia,Qaasuitsup Kommunia
Qabala,Qabala
Qala,Qala
Qalqilya,Qalqilya
Qaraghandy oblysy,Qaraghandy oblysy
Qash-Barkah,Qash-Barkah
Qashqadaryo,Qashqadaryo
Qatar,Qatar
Qax,Qax
Qazax,Qazax
Qazvin,Qazvin
Qeqqata Kommunia,Qeqqata Kommunia
Qina,Qina
Qinghai,青海省
Qobustan,Qobustan
Qom,Qom
Qormi,Qormi
Qostanay oblysy,Qostanay oblysy
Qrendi,Qrendi
Quang Binh,Quang Binh
Quang Nam,Quang Nam
Quang Ngai,Quang Ngai
Quang Ninh,Quang Ninh
Quang Tri,Quang Tri
Quantity,数量
quantity of products matching all of the following conditions,满足以下全部条件的商品数量上限
Quba,Quba
Qubadli,Qubadli
Quebec,Quebec
Queensland,Queensland
Queretaro,Queretaro
Query,查询
Questions,问题
Quetzaltenango,Quetzaltenango
Queue,队列
Quezon,Quezon
Quiche,Quiche
Quinara,Quinara
Quindio,Quindio
Quintana Roo,Quintana Roo
Quirino,Quirino
Quota,配额
Quota exceeded,超出配额
Qusar,Qusar
Quthing,Quthing
Qyzylorda oblysy,Qyzylorda oblysy
Raa,Raa
Rabat Gozo,Rabat Gozo
Rabat Malta,Rabat Malta
Rabat-Sale-Zemmour-Zaer,Rabat-Sale-Zemmour-Zaer
Race-Fram,Race-Fram
Radece,Radece
Radenci,Radenci
Radlje ob Dravi,Radlje ob Dravi
Radovis,Radovis
Radovljica,Radovljica
Rajasthan,Rajasthan
Rajshahi,Rajshahi
Rakai,Rakai
Rakhine,Rakhine
Ramallah,Ramallah
Rangpur,Rangpur
Ranking,排名
Rankovce,Rankovce
Ranong,Ranong
Raplamaa,Raplamaa
Rapti,Rapti
Rasinski okrug,Rasinski okrug
Raski okrug,Raski okrug
Ratchaburi,Ratchaburi
Rate,税率
Rate limit,速率限制
Rates,税率
Ratings,评分
Ravne na Koroskem,Ravne na Koroskem
Raymah,Raymah
Rayong,Rayong
Razgrad,Razgrad
Read more,阅读更多
Reason for cancellation,取消原因
Rebuild index,重建索引
Receipts,收据
Recent Orders,最近订单
Recent transactions,最近交易
Recently placed orders by this customer,该客户最近的订单
Recipient,收件人
Reconciliation,对账
Recovery codes,恢复码
Red,红色
Red Sea,Red Sea
Redirect URI,重定向 URI
Redirecting to PayPal...,正在跳转到 PayPal…
Referral,推荐
Referrers,引荐来源
Refresh,刷新
Refresh balance,刷新余额
Refresh token,刷新令牌
Refund,退款
Refund amount,退款金额
Refunded,已退款
Regiao Autonoma da Madeira,Regiao Autonoma da Madeira
Regiao Autonoma dos Acores,Regiao Autonoma dos Acores
Region Metropolitana de Santiago,Region Metropolitana de Santiago
Regions,地区
Registration failed,注册失败
Related products,相关商品
Relizane,Relizane
Remove,移除
Remove from collection,从商品集移除
Remove image,移除图片
Rename,重命名
Renew,续费
Reply to,回复至
Reports,报表
Republika Srpska,Republika Srpska
Request,请求
Request completed,请求已完成
Request failed,请求失败
Require login to checkout,结账需登录
Required,必填
Required NBC,需支付 NBC
Requires at least one item to create a cart,创建购物车至少需要一件商品
Requires shipping,需要配送
Resen,Resen
Reset,重置
Reset password,重置密码
Reset Password,重置密码
Reset your password,重置您的密码
Reset Your Password,重置密码
Response,响应
Response time,响应时间
REST,REST
Restore,恢复
Results for ,Results for 
"Results for ""${keyword}""",“${keyword}” 的搜索结果
Retailers,零售商
Retalhuleu,Retalhuleu
Retention,留存
Retry,重试
Return URL,返回 URL
Réunion,Réunion
Revenue,收入
Reviews,评价
Revoke,撤销
Rewards,奖励
Rezeknes novads,Rezeknes novads
Rezina,Rezina
Rheinland-Pfalz,Rheinland-Pfalz
Rhode Island,Rhode Island
Riau,Riau
Ribeira Brava,Ribeira Brava
Ribeira Grande,Ribeira Grande
Ribeira Grande de Santiago,Ribeira Grande de Santiago
Ribnica,Ribnica
Rif Dimashq,Rif Dimashq
Riga,Riga
Rio de Janeiro,Rio de Janeiro
Rio Grande do Norte,Rio Grande do Norte
Rio Grande do Sul,Rio Grande do Sul
Rio Negro,Rio Negro
Rio San Juan,Rio San Juan
Risaralda,Risaralda
Riscani,Riscani
Rivas,Rivas
River Cess,River Cess
River Gee,River Gee
River Nile,River Nile
Rivera,Rivera
Rivers,Rivers
Riviere du Rempart,Riviere du Rempart
Rivnenska oblast,Rivnenska oblast
Rizal,Rizal
Rize,Rize
ROAS,广告支出回报率
Rocha,Rocha
Rogaland,Rogaland
Rogaska Slatina,Rogaska Slatina
ROI,投资回报率
Roi Et,Roi Et
Rojas novads,Rojas novads
Role,角色
Roles,角色
Romania,Romania
Romblon,Romblon
Rondonia,Rondonia
Rongelap,Rongelap
Root category,根分类
Ropazu novads,Ropazu novads
Roraima,Roraima
Roscommon,Roscommon
Rosoman,Rosoman
Rotanak Kiri,Rotanak Kiri
Routes,路由
Rows,行
Rubirizi,Rubirizi
Rugaju novads,Rugaju novads
Ruggell,Ruggell
Rukungiri,Rukungiri
Rukwa,Rukwa
Rules,规则
Rumphi,Rumphi
Run now,立即运行
Rundales novads,Rundales novads
Ruse,Ruse
Russia,俄罗斯
Rutana,Rutana
Ruvuma,Ruvuma
Ruyigi,Ruyigi
Rwanda,Rwanda
Sa Kaeo,Sa Kaeo
Saaremaa,Saaremaa
Saarland,Saarland
Saatli,Saatli
Saba,Saba
Sabah,Sabah
Sabaragamuwa Province,Sabaragamuwa Province
Sabha,Sabha
Sabirabad,Sabirabad
Sacatepequez,Sacatepequez
Sachsen,Sachsen
Sachsen-Anhalt,Sachsen-Anhalt
Safi,Safi
Saga,Saga
Sagaing,Sagaing
Sagarmatha,Sagarmatha
"Saha, Respublika","Saha, Respublika"
Saida,Saida
Saint Andrew,Saint Andrew
Saint Ann,Saint Ann
Saint Barthélemy,Saint Barthélemy
Saint Catherine,Saint Catherine
Saint David,Saint David
Saint Elizabeth,Saint Elizabeth
Saint George,Saint George
Saint George Basseterre,Saint George Basseterre
Saint Helena,Saint Helena
Saint James,Saint James
Saint John,Saint John
Saint Joseph,Saint Joseph
Saint Julian,Saint Julian
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Luke,Saint Luke
Saint Mark,Saint Mark
Saint Martin,Saint Martin
Saint Mary,Saint Mary
Saint Michael,Saint Michael
Saint Patrick,Saint Patrick
Saint Paul,Saint Paul
Saint Paul Charlestown,Saint Paul Charlestown
Saint Peter,Saint Peter
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Thomas,Saint Thomas
Saint Venera,Saint Venera
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Saint-Louis,Saint-Louis
Saint-Roman,Saint-Roman
Saitama,Saitama
Sakarya,Sakarya
Saki,Saki
Sakon Nakhon,Sakon Nakhon
Sal,Sal
Salacgrivas novads,Salacgrivas novads
Salah ad Din,Salah ad Din
Salaj,Salaj
Salamat,Salamat
Salavan,Salavan
Saldus novads,Saldus novads
Sale Statistics,销售统计
Salfit,Salfit
Salima,Salima
Salta,Salta
Salto,Salto
Salyan,Salyan
Salzburg,Salzburg
Samana,Samana
Samangan,Samangan
Samar,Samar
Samarqand,Samarqand
Samaxi,Samaxi
Samburu,Samburu
Same as shipping address,与收货地址相同
Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti
Samkir,Samkir
Samoa,Samoa
Samsun,Samsun
Samtskhe-Javakheti,Samtskhe-Javakheti
Samut Prakan,Samut Prakan
Samut Sakhon,Samut Sakhon
Samut Songkhram,Samut Songkhram
Samux,Samux
"San Andres, Providencia y Santa Catalina","San Andres, Providencia y Santa Catalina"
San Cristobal,San Cristobal
San Fernando,San Fernando
San Jose,San Jose
San Juan,San Juan
San Juan-Laventille,San Juan-Laventille
San Luis,San Luis
San Luis Potosi,San Luis Potosi
San Marcos,San Marcos
San Marino,San Marino
San Martin,San Martin
San Miguel,San Miguel
San Pedro,San Pedro
San Pedro de Macoris,San Pedro de Macoris
San Salvador,San Salvador
San Vicente,San Vicente
Sanaag,Sanaag
Sanchez Ramirez,Sanchez Ramirez
Sancti Spiritus,Sancti Spiritus
Sandbox,沙箱
Sandbox mode,沙箱模式
Sangha,Sangha
Sangre Grande,Sangre Grande
Sanguie,Sanguie
Sankt Gallen,Sankt Gallen
Sankt-Peterburg,Sankt-Peterburg
Sankuru,Sankuru
Sanliurfa,Sanliurfa
Sanma,Sanma
Sanmatenga,Sanmatenga
Sannat,Sannat
Sant Julia de Loria,Sant Julia de Loria
Santa Ana,Santa Ana
Santa Barbara,Santa Barbara
Santa Catarina,Santa Catarina
Santa Catarina do Fogo,Santa Catarina do Fogo
Santa Cruz,Santa Cruz
Santa Elena,Santa Elena
Santa Fe,Santa Fe
Santa Rosa,Santa Rosa
Santander,Santander
Santarem,Santarem
Santiago,Santiago
Santiago de Cuba,Santiago de Cuba
Santiago del Estero,Santiago del Estero
Santiago Rodriguez,Santiago Rodriguez
Sao Domingos,Sao Domingos
Sao Filipe,Sao Filipe
Sao Miguel,Sao Miguel
Sao Paulo,Sao Paulo
Sao Salvador do Mundo,Sao Salvador do Mundo
Sao Tome,Sao Tome
São Tomé and Príncipe,São Tomé and Príncipe
Sao Vicente,Sao Vicente
Sar-e Pul,Sar-e Pul
Saraburi,Saraburi
Saramacca,Saramacca
Sarawak,Sarawak
Sardegna,Sardegna
Saskatchewan,Saskatchewan
Sassandra-Marahoue,Sassandra-Marahoue
Satakunta,Satakunta
Satisfaction,满意度
Satu Mare,Satu Mare
Satun,Satun
Saudi Arabia,Saudi Arabia
Savanes,Savanes
Savannakhet,Savannakhet
Savanne,Savanne
Savannes,Savannes
Save,保存
Saved,已保存
Saved successfully!,保存成功！
Schaan,Schaan
Schaffhausen,Schaffhausen
Schedule,计划
Schellenberg,Schellenberg
Schleswig-Holstein,Schleswig-Holstein
Schwyz,Schwyz
Scopes,范围
Scotland,Scotland
Search,搜索
Search attribute groups,搜索属性组
Search categories,搜索分类
Search collections,搜索商品集
Search engine optimize,搜索引擎优化
"Search for products, orders and other resources",搜索商品、订单及其他资源
Search products,搜索商品
Search results for,搜索结果：
Search results for ,搜索结果：
"Search results for ""${keyword}""",“${keyword}”的搜索结果
Search results for: ${keyword},搜索结果：${keyword}
Secret Key,密钥
Secure,安全
Security,安全
Sedhiou,Sedhiou
Seenu,Seenu
Segments,细分
Segou,Segou
Sejas novads,Sejas novads
Selangor,Selangor
Select,选择
Select a payment method,选择支付方式
Select all,全选
Select an option,请选择
Select category,选择分类
Select Category,选择分类
Select country,选择国家
Select groups the attribute belongs to,选择该属性所属的属性组
Select list,下拉单选
Select operator,选择运算符
Select options,选择选项
Select or create shipping method,选择或创建配送方式
Select pages,选择页面
Select Parent Category,选择父分类
Select Products by SKU,按 SKU 选择商品
Select provinces/states,选择省/州
Select shipping method,选择配送方式
Select sort,选择排序
Selected,已选
Selenge,Selenge
Sembabule,Sembabule
Semnan,Semnan
Sempeter-Vrtojba,Sempeter-Vrtojba
Sencur,Sencur
Send email,发送邮件
Send NBC tokens to the treasury address below. Balance updates after confirmations.,向下方金库地址转入 NBC，确认后余额将更新。
Send test email,发送测试邮件
Sender,发件人
Senegal,Senegal
Sennar,Sennar
Seno,Seno
Sentilj,Sentilj
Sentjur,Sentjur
SEO,SEO
SEO Information,SEO 信息
Seoul-teukbyeolsi,Seoul-teukbyeolsi
Serbia,Serbia
Serere,Serere
Sergipe,Sergipe
Serravalle,Serravalle
Service unavailable,服务不可用
Session,会话
Sessions,会话
Set as default,设为默认
Set the status and visibility of the product.,设置商品的状态与可见性。
Seti,Seti
Setif,Setif
Setting,设置
Settings,设置
Settlement,结算
Setubal,Setubal
"Severnaya Osetiya, Respublika","Severnaya Osetiya, Respublika"
Severnobacki okrug,Severnobacki okrug
Severnobanatski okrug,Severnobanatski okrug
Sevnica,Sevnica
Seychelles,Seychelles
Sezana,Sezana
Sfax,Sfax
Shaanxi,陕西省
Shabeellaha Dhexe,Shabeellaha Dhexe
Shabeellaha Hoose,Shabeellaha Hoose
Shabwah,Shabwah
Shamal al Batinah,Shamal al Batinah
Shamal ash Sharqiyah,Shamal ash Sharqiyah
Shan,Shan
Shandong,山东省
Shanghai,上海市
Shanxi,山西省
Shares,分享
Shaviyani,Shaviyani
Sheema,Sheema
Shefa,Shefa
Shida Kartli,Shida Kartli
Shiga,Shiga
Shimali al Bahri al Ahmar,Shimali al Bahri al Ahmar
Shimane,Shimane
Shinyanga,Shinyanga
Ship,发货
Ship Items,发货
Shipment number,发货编号
Shipment status,发货状态
Shipment Status,发货状态
Shipped,已发货
Shipping,运费
Shipping (${method}),运费（${method}）
Shipping address,收货地址
Shipping Address,收货地址
Shipping cost,运费
Shipping Cost,运费
Shipping method,配送方式
Shipping Method,配送方式
Shipping Setting,配送设置
Shipping tax class,运费税类
Shipping Zone,配送区域
Shiselweni,Shiselweni
Shizuoka,Shizuoka
Shkoder,Shkoder
Shopping cart,购物车
Shopping Cart,购物车
Shopping cart with ${count} items,购物车，共 ${count} 件商品
Short description,简短描述
Show,显示
Show all ${count} options,显示全部 ${count} 个选项
Show less,收起
Show more,显示更多
Show products?,显示商品？
Showing ${showing} of ${total},显示 ${showing} / ${total}
Showing ${start}-${end} of ${total} results,显示第 ${start}-${end} 条，共 ${total} 条
Shumen,Shumen
Shyghys Qazaqstan oblysy,Shyghys Qazaqstan oblysy
Si Sa Ket,Si Sa Ket
Siauliu apskritis,Siauliu apskritis
Siaya,Siaya
Sibensko-kninska zupanija,Sibensko-kninska zupanija
Sibiu,Sibiu
Sichuan,四川省
Sicilia,Sicilia
Sidebar,侧边栏
Sidi Bel Abbes,Sidi Bel Abbes
Sidi Bouzid,Sidi Bouzid
Siem Reab,Siem Reab
Sierra Leone,Sierra Leone
Siggiewi,Siggiewi
Sign in,登录
SIGN IN,登录
Sign in with wallet,使用钱包登录
Sign in with your wallet to pay with NBC tokens.,使用钱包签名登录后即可用 NBC 代币支付。
Sign out,退出登录
Siguiri,Siguiri
Siguldas novads,Siguldas novads
Siirt,Siirt
Sikasso,Sikasso
Sikkim,Sikkim
Siliana,Siliana
Silistra,Silistra
Simple,简单商品
Sinaloa,Sinaloa
Sindh,Sindh
Sing Buri,Sing Buri
Singapore,新加坡
Singerei,Singerei
Singida,Singida
Sinoe,Sinoe
Sinop,Sinop
Sint Eustatius,Sint Eustatius
Siparia,Siparia
Siquijor,Siquijor
Sirak,Sirak
Sirdaryo,Sirdaryo
Sirnak,Sirnak
Sironko,Sironko
Sirvan,Sirvan
Sisacko-moslavacka zupanija,Sisacko-moslavacka zupanija
Sissili,Sissili
Sistan va Baluchestan,Sistan va Baluchestan
Sivas,Sivas
Size,尺码
Sjelland,Sjelland
Skane lan,Skane lan
Skikda,Skikda
Skofja Loka,Skofja Loka
Skofljica,Skofljica
Skopje,Skopje
Skrundas novads,Skrundas novads
Sku,SKU
SKU,货号
SKU ${sku},SKU ${sku}
SKU must be unique,SKU 必须唯一
SKU: ${sku},货号：${sku}
Slaskie,Slaskie
Sliema,Sliema
Sligo,Sligo
Sliven,Sliven
Slovakia,Slovakia
Slovenia,Slovenia
Slovenj Gradec,Slovenj Gradec
Slovenska Bistrica,Slovenska Bistrica
Slovenske Konjice,Slovenske Konjice
Smaller,小于
Smolyan,Smolyan
Snippets,片段
Soc Trang,Soc Trang
Sodermanlands lan,Sodermanlands lan
Sofala,Sofala
Sofia,Sofia
Sofia (stolitsa),Sofia (stolitsa)
Sogn og Fjordane,Sogn og Fjordane
Sokoto,Sokoto
SOLD OUT,已售罄
Soldanesti,Soldanesti
Solola,Solola
Solomon Islands,Solomon Islands
Solothurn,Solothurn
Soltustik Qazaqstan oblysy,Soltustik Qazaqstan oblysy
Somalia,Somalia
Some error occurred. Please try again later.,发生错误，请稍后重试。
Some products are not available,部分商品不可用
Something went wrong! Please try again.,出错了，请重试。
Somogy,Somogy
Son La,Son La
Songkhla,Songkhla
Sonora,Sonora
Sonsonate,Sonsonate
Sool,Sool
Sopiste,Sopiste
Sor-Trondelag,Sor-Trondelag
Soriano,Soriano
Soroca,Soroca
Soroti,Soroti
Sorsogon,Sorsogon
Sort ascending,升序
Sort By,排序
Sort descending,降序
Sort order,排序
Sort Order,排序
Sort order is required,请填写排序
Sort order must be a positive number,排序必须为非负数
Sostanj,Sostanj
Soufriere,Soufriere
Souk Ahras,Souk Ahras
Soum,Soum
Sources,来源
Sourou,Sourou
Souss-Massa-Draa,Souss-Massa-Draa
Sousse,Sousse
South Africa,South Africa
South Australia,South Australia
South Carolina,South Carolina
South Cotabato,South Cotabato
South Dakota,South Dakota
South Darfur,South Darfur
South East,South East
South Eleuthera,South Eleuthera
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
South Kordofan,South Kordofan
South Korea,韩国
Southern,Southern
Southern Highlands,Southern Highlands
Southern Leyte,Southern Leyte
Southern Province,Southern Province
Southland,Southland
Spain,西班牙
